Hotel Name,Room Type,Single Bed,Double Bed,Price
Queens Hotel,Standard Double Room,No,Yes,"₹ 3,828"
Resivation Hotel,Superior King Room,No,Yes,"₹ 8,471"
Gulf Oasis Hotel Apartments Fz LLC,Studio Apartment,No,Yes,"₹ 7,885"
Media One Hotel,Standard Double Room,No,Yes,"₹ 12,370"
Paramount Hotel Dubai,Scene Room,No,Yes,"₹ 15,164"
Canal Central Hotel,Superior Room City View with free access to Hotel's private beach at Palm - Jumeirah,No,No,"₹ 17,130"
Stella Di Mare Dubai Marina Hotel,Deluxe King Room City View,No,Yes,"₹ 17,644"
Chelsea Plaza Hotel,Deluxe Double Room,Yes,Yes,"₹ 6,400"
SUN & SANDS HOTEL LLC,Standard King Room,No,Yes,"₹ 7,927"
Mövenpick Hotel & Apartments Dubai,Superior King Room - Complimentary Transfer to La Mer Beach and Dubai Mall / Burj Khalifa,No,Yes,"₹ 12,225"
Sea View Hotel Dubai,Deluxe Twin Room,Yes,No,"₹ 6,194"
URBAN Al Khoory Hotel,Classic Room,No,Yes,"₹ 7,786"
Admiral Plaza Hotel,Superior Double Room,No,Yes,"₹ 9,530"
Zain International Hotel,Standard Double Room,No,Yes,"₹ 5,390"
Four Points by Sheraton Sheikh Zayed Road,Classic Twin Room with Balcony - Complimentary shuttle service to Dubai Mall and La Mer Beach,Yes,No,"₹ 17,808"
Waldorf Astoria Dubai International Financial Centre,Deluxe King Room,No,Yes,"₹ 26,627"
ABJAD CROWN HOTEL,Standard Twin Room,Yes,No,"₹ 3,050"
Rove At The Park,"Rover Room – Free Shuttle service to JBR beach, IBN Battuta Mall and Parks",No,No,"₹ 9,260"
Royal Continental Hotel,Superior Twin Room,Yes,No,"₹ 8,282"
Movenpick Jumeirah Village Triangle,Superior King Room with City View,No,Yes,"₹ 11,325"
Savoy Central Hotel Apartments,Executive Studio,No,Yes,"₹ 6,739"
TRYP by Wyndham Dubai,"1 King Bed, TRYP Room with Balcony",No,Yes,"₹ 11,417"
"Rove La Mer Beach, Jumeirah",Rover Room Free schedule Shuttle To WTC,No,No,"₹ 15,806"
Park Regis Business Bay,"Standard Room, 20% off food and beverage, excluding signature dishes, 20% off Laundry and 10% off Spa",No,No,"₹ 12,337"
Towers Rotana - Dubai,Guest Room - King or Twin Bed,Yes,Yes,"₹ 15,305"
JW Marriott Marquis Hotel Dubai,Deluxe King Room,No,Yes,"₹ 28,538"
Ecos Dubai Hotel at Al Furjan,Standard King Room,No,Yes,"₹ 6,461"
"Residence Inn by Marriott Sheikh Zayed Road, Dubai","Deluxe Studio with 1 King, City view",No,Yes,"₹ 16,987"
"Marriott Resort Palm Jumeirah, Dubai",Deluxe King Room with Partial Sea View,No,Yes,"₹ 27,972"
Super 8 by Wyndham Dubai Deira,"Superior Queen Room with Souq View, Early Check-in (12 pm) Late Check-out (2 pm)",No,Yes,"₹ 6,883"
Studio One Hotel,Standard Double Room,No,Yes,"₹ 10,464"
Gulf Inn Hotel Al Nasr Formerly Roda Links Al Nasr,Classic King Room,No,No,"₹ 5,691"
President Hotel,Standard Queen Room,No,Yes,"₹ 6,515"
Avani Deira Dubai Hotel,AVANI Room,No,No,"₹ 7,322"
Marina Byblos Hotel,Deluxe Double Room,No,Yes,"₹ 11,626"
Icon Delux Hotel Apartments Al Barsha - Formerly Abidos,Deluxe One-Bedroom Apartment,No,Yes,"₹ 8,577"
Smana Hotel Al Raffa,Deluxe 2 Double Beds,No,No,"₹ 4,818"
TIME Oak Hotel & Suites,"Deluxe Room – Inclusive of 20% F&B discount, Late Check-Out, 25% on Laundry",No,Yes,"₹ 11,945"
Al Manar Grand Hotel Apartment,Studio,Yes,Yes,"₹ 5,320"
Hyatt Regency Galleria Residence Dubai,Premium Studio with Kitchen,No,Yes,"₹ 15,017"
Ink Hotel,Standard City View,No,Yes,"₹ 10,377"
Fortune Karama Hotel,Standard Room,No,No,"₹ 5,127"
Residence Inn by Marriott Al Jaddaf,"Studio Suite, 1 King, Balcony",No,Yes,"₹ 16,217"
25hours Hotel Dubai One Central,Bedouin Medium Room with King Bed,No,Yes,"₹ 18,289"
"Crowne Plaza Dubai Deira, an IHG Hotel",Deluxe King Room - Smoking,No,Yes,"₹ 12,414"
Jumeirah Emirates Towers,Deluxe Room with Direct Connectivity to Museum of The Future,No,Yes,"₹ 27,179"
Asiana Hotel Dubai,Superior King Room - Beach transfer & Free Shuttle to Deira city center mall,No,Yes,"₹ 7,982"
Rove Trade Centre,Rover Room,No,No,"₹ 13,562"
Sofitel Dubai The Obelisk,Deluxe Room,No,Yes,"₹ 14,745"
Mark Inn Hotel Deira,Standard Queen Room,No,Yes,"₹ 5,930"
NEW CALIFORNIA HOTEL,Standard Double or Twin Room,No,No,"₹ 4,365"
VENDOME PALACE HOTEL,Deluxe Double or Twin Room,Yes,No,"₹ 5,096"
Days Hotel By Wyndham Dubai Deira,"Superior Queen Room, City View, 25% off Spa",No,Yes,"₹ 8,789"
